,RateCodeID,icon,hour,count
373,2,snow,11,65
374,3,partly-cloudy-day,18,201
375,5,partly-cloudy-night,5,5152
376,5,wind,13,1851
377,4,clear-night,18,304
378,5,fog,6,711
379,5,fog,20,304
380,4,clear-day,14,383
381,3,wind,4,19
382,4,wind,2,21
383,6,cloudy,4,2
384,1,cloudy,2,108327
385,1,snow,16,24088
386,2,snow,14,67
387,6,rain,21,2
388,4,rain,5,27
389,4,wind,5,6
390,4,snow,13,5
391,2,cloudy,5,493
392,1,rain,9,131024
393,2,clear-night,22,2397
394,1,wind,6,16617
395,3,rain,12,129
396,2,fog,19,77
397,3,rain,5,100
398,2,rain,20,390
399,5,snow,17,401
400,2,clear-night,7,843
401,2,partly-cloudy-night,1,323
402,4,fog,17,4
403,5,snow,22,172
404,5,partly-cloudy-night,18,1416
405,4,rain,14,53
406,3,clear-day,20,81
407,6,clear-day,13,42
408,5,rain,0,2436
409,3,clear-night,23,445
410,6,cloudy,1,6
411,5,snow,6,155
412,2,snow,2,10
413,4,partly-cloudy-day,15,155
414,3,clear-night,5,631
415,6,partly-cloudy-night,20,12
416,5,cloudy,1,2707
417,6,wind,18,8
418,4,snow,19,9
419,5,snow,10,686
420,4,fog,8,20
421,6,partly-cloudy-day,12,12
422,6,rain,3,8
423,4,snow,1,5
424,1,clear-day,8,799928
425,4,wind,19,80
426,5,wind,22,1797
427,1,partly-cloudy-day,13,479680
428,3,cloudy,22,67
429,3,cloudy,11,142
430,5,partly-cloudy-night,2,5152
431,5,snow,9,613
432,1,rain,10,108645
433,4,clear-day,10,492
434,2,clear-day,8,3050
435,1,wind,11,91434
436,1,rain,6,41184
437,5,fog,23,493
438,3,clear-day,12,1317
439,5,clear-night,23,22130
440,2,wind,20,297
441,5,cloudy,7,3968
442,1,fog,5,8862
443,4,wind,4,12
444,1,snow,2,6286
445,4,clear-night,1,555
446,6,clear-night,5,9
447,3,snow,21,5
448,99,partly-cloudy-day,10,2
449,99,partly-cloudy-day,14,7
450,2,wind,13,394
451,4,wind,18,91
452,4,wind,11,47
453,1,fog,18,13663
454,3,rain,21,67
455,4,cloudy,7,34
456,5,snow,13,329
457,6,cloudy,2,2
458,4,fog,21,11
459,99,partly-cloudy-day,7,1
460,3,partly-cloudy-day,17,719
461,5,clear-night,1,20133
462,4,clear-day,12,596
463,1,fog,3,12256
464,4,clear-night,22,787
465,2,wind,0,115
466,5,wind,4,526
467,99,clear-night,4,3
468,3,snow,10,13
469,6,snow,10,1
470,2,partly-cloudy-night,2,358
471,3,clear-day,17,448
472,1,wind,9,72995
473,1,wind,8,50018
474,1,partly-cloudy-night,22,414942
475,3,wind,5,33
476,2,rain,3,129
477,6,partly-cloudy-night,5,12
478,99,wind,2,3
479,1,rain,16,152534
480,2,partly-cloudy-night,7,494
481,4,wind,23,33
482,2,partly-cloudy-night,6,334
483,1,rain,2,78714
484,6,cloudy,5,2
485,4,clear-day,13,482
486,5,clear-night,4,15099
487,3,cloudy,23,76
488,5,partly-cloudy-day,10,8986
489,5,wind,10,1922
490,99,clear-night,17,2
491,2,partly-cloudy-night,20,1006
492,2,partly-cloudy-day,8,1657
493,1,wind,0,64770
494,1,partly-cloudy-night,4,131959
495,4,wind,16,83
496,4,partly-cloudy-day,16,267
497,3,partly-cloudy-night,0,47
498,4,fog,19,9
499,4,fog,20,6
500,2,cloudy,8,508
501,5,wind,21,2087
502,6,cloudy,10,11
503,2,rain,22,248
504,2,rain,16,642
505,6,partly-cloudy-night,4,12
506,6,clear-day,7,20
507,2,rain,12,433
508,5,clear-night,7,7715
509,1,snow,21,14755
510,4,clear-day,20,77
511,99,partly-cloudy-day,11,7
512,3,clear-day,8,731
513,4,clear-night,3,489
514,5,fog,5,460
515,5,snow,7,364
516,5,snow,2,141
517,5,partly-cloudy-night,3,2279
518,5,rain,18,3104
519,5,rain,1,1752
520,5,snow,18,419
521,6,fog,19,2
522,2,rain,6,382
523,3,wind,14,185
524,2,partly-cloudy-day,16,3124
525,3,rain,1,44
526,2,snow,9,69
527,4,clear-day,17,211
528,3,fog,3,15
529,6,cloudy,23,8
530,6,cloudy,16,4
531,6,fog,10,3
532,99,clear-day,19,147
533,2,fog,13,99
534,1,wind,7,33708
535,4,rain,10,60
536,3,rain,2,39
537,6,wind,23,2
538,5,snow,5,217
539,6,partly-cloudy-night,23,17
540,1,rain,12,105704
541,3,partly-cloudy-day,14,998
542,4,wind,9,35
543,5,partly-cloudy-day,11,13000
544,1,snow,18,28105
545,4,rain,18,59
546,4,snow,15,7
547,2,rain,19,478
548,2,partly-cloudy-night,22,649
549,2,cloudy,16,952
550,4,fog,9,22
551,4,snow,9,8
552,3,snow,23,5
553,1,clear-night,4,461491
554,1,rain,22,163310
