,year,month,weekofday,hour,Holiday,count
287,2013,11,1,18,0,3028
288,2013,12,5,21,0,5050
289,2014,1,0,3,0,640
290,2014,1,0,11,0,2873
291,2014,1,2,1,0,1256
292,2014,1,0,16,1,1291
293,2014,2,2,20,0,8610
294,2014,2,4,3,0,1522
295,2014,3,0,18,0,12185
296,2014,5,4,13,0,8737
297,2014,5,1,4,0,1578
298,2014,7,1,17,0,10919
299,2014,7,4,11,0,4739
300,2014,10,5,19,0,14937
301,2014,10,6,3,0,10557
302,2014,10,6,15,0,9746
303,2014,10,0,22,0,5069
304,2014,11,1,12,0,5224
305,2014,11,3,4,0,1263
306,2014,11,3,7,0,5300
307,2015,2,5,13,0,10903
308,2015,3,6,19,0,15871
309,2015,3,4,0,0,8242
310,2015,3,4,12,0,8190
311,2015,5,2,3,0,2000
312,2015,7,5,17,0,13104
313,2015,10,0,10,0,5836
314,2015,10,0,22,0,5402
315,2015,11,0,19,0,13839
316,2015,12,2,20,0,15241
317,2016,1,0,9,1,1476
318,2016,2,1,20,0,11313
319,2016,5,3,14,0,8990
320,2016,6,0,4,0,1922
321,2013,8,0,19,0,62
322,2013,8,0,5,0,7
323,2013,9,1,16,0,362
324,2013,10,3,7,0,979
325,2013,11,5,4,0,1899
326,2014,2,5,3,0,6334
327,2014,3,6,21,0,9995
328,2014,3,2,15,0,8378
329,2014,4,2,6,0,2763
330,2014,5,6,9,0,4008
331,2014,7,4,18,0,9432
332,2014,9,0,7,1,533
333,2014,10,5,1,0,13632
334,2014,12,4,21,0,16799
335,2015,2,0,22,0,6268
336,2015,2,5,8,0,5375
337,2015,3,4,13,0,8118
338,2015,4,0,8,0,10433
339,2015,4,1,17,0,11406
340,2015,6,2,18,0,13926
341,2015,8,0,20,0,11232
342,2015,10,3,9,0,12240
343,2015,10,5,6,0,3587
344,2015,10,6,3,0,10779
345,2015,10,1,3,0,1419
346,2015,11,2,10,1,1820
347,2015,12,2,3,0,2436
348,2016,2,1,4,0,1224
349,2013,9,2,11,0,268
350,2013,9,3,1,0,82
351,2013,9,4,4,0,49
352,2013,10,5,8,0,516
353,2013,10,5,16,0,1424
354,2013,12,3,18,0,5362
355,2014,2,6,17,0,8370
356,2014,3,4,2,0,2965
357,2014,4,6,4,0,7388
358,2014,5,3,14,0,10026
359,2014,7,1,22,0,9659
360,2014,7,4,20,1,2190
361,2014,7,0,22,0,6444
362,2014,9,2,2,0,2024
363,2014,11,2,13,0,8430
364,2014,11,4,17,0,14020
365,2015,1,4,20,0,20543
366,2015,1,6,19,0,10598
367,2015,2,1,6,0,2573
368,2015,5,3,4,0,2102
369,2015,6,4,10,0,9083
370,2015,6,5,1,0,15682
371,2015,7,3,15,0,12378
372,2015,10,3,0,0,8091
373,2015,11,0,12,0,8559
374,2016,5,0,2,0,2221
375,2013,8,0,18,0,71
376,2013,8,3,16,0,83
377,2013,8,0,22,0,35
378,2013,9,0,2,0,73
379,2013,9,0,4,0,46
380,2013,10,3,8,0,1425
381,2013,10,5,12,0,926
382,2013,10,0,20,1,210
383,2013,11,1,11,0,2011
384,2014,5,0,13,0,4523
385,2014,6,6,17,0,12389
386,2014,6,5,9,0,5275
387,2014,7,1,14,0,9638
388,2014,8,6,21,0,11588
389,2014,8,1,11,0,5682
390,2014,9,4,1,0,5211
391,2014,9,4,18,0,14164
392,2014,10,4,7,0,7869
393,2014,10,0,18,1,2523
394,2014,11,2,4,0,1589
395,2014,11,3,12,1,1957
396,2014,12,5,7,0,3279
397,2015,1,0,4,1,759
398,2015,2,2,7,0,6958
399,2015,3,6,15,0,13634
400,2015,3,2,21,0,12091
401,2015,5,1,16,0,10336
402,2015,5,3,6,0,3301
403,2015,6,1,16,0,13221
404,2015,6,2,3,0,1949
405,2015,6,6,6,0,2689
406,2015,10,3,21,0,15617
407,2015,10,5,3,0,11541
408,2015,11,2,22,0,7451
409,2015,11,3,0,1,2085
410,2015,12,4,13,0,6103
411,2016,1,6,21,0,9873
412,2016,2,3,20,0,14031
413,2016,2,5,2,0,10685
414,2016,5,2,9,0,9156
415,2013,8,3,1,0,18
416,2013,9,6,3,0,403
417,2013,9,2,0,0,142
418,2013,9,3,7,0,151
419,2013,11,0,11,0,1549
420,2014,1,6,3,0,5106
421,2014,1,0,14,1,1045
422,2014,4,6,17,0,9316
423,2014,5,6,16,0,9929
424,2014,6,5,4,0,6274
425,2014,10,0,20,0,6653
426,2014,11,0,5,0,1720
427,2014,11,1,20,1,2249
428,2015,1,4,15,0,13163
429,2015,2,6,14,0,10721
430,2015,2,6,22,0,11132
431,2015,8,4,16,0,11070
432,2015,11,5,9,0,6898
433,2016,1,6,1,0,13785
434,2016,1,0,4,0,1121
435,2016,1,3,16,0,10460
436,2016,1,0,19,1,2738
437,2016,3,5,19,0,16674
438,2016,5,3,20,0,12666
439,2016,5,4,2,0,4080
440,2013,8,2,17,0,90
441,2013,10,4,16,0,1446
442,2013,10,6,23,0,688
443,2013,11,1,4,0,844
444,2013,12,4,18,0,6538
445,2014,2,0,5,1,354
446,2014,3,1,13,0,5811
447,2014,4,5,21,0,15422
448,2014,5,0,11,0,4655
449,2014,6,2,0,0,5433
450,2014,9,1,21,0,10551
451,2014,10,2,10,0,9596
452,2014,10,6,22,0,9070
453,2014,11,6,10,0,7808
454,2014,12,6,14,0,9625
455,2015,1,2,9,0,9490
456,2015,2,5,10,0,8422
457,2015,2,0,0,1,2375
458,2015,2,0,21,1,2431
459,2015,5,3,17,0,13292
460,2015,8,4,13,0,6889
461,2015,10,0,20,1,2188
462,2015,11,2,18,0,9929
463,2015,11,4,21,0,14584
464,2015,12,3,16,0,16663
465,2016,3,4,0,0,8006
466,2016,5,2,3,0,1418
467,2016,5,4,22,0,14440
468,2016,6,1,22,0,7770
469,2013,8,6,14,0,22
470,2013,8,0,1,0,11
471,2013,10,5,22,0,1668
472,2013,11,4,18,0,4362
473,2014,2,0,5,0,801
474,2014,2,1,11,0,5532
475,2014,2,2,9,0,6484
476,2014,3,3,21,0,10420
477,2014,4,4,10,0,7015
478,2014,5,3,20,0,13639
479,2014,5,5,19,0,18605
480,2014,5,2,16,0,9116
481,2014,6,3,16,0,9488
482,2014,7,5,12,0,7030
483,2014,7,6,9,0,3587
484,2014,11,1,8,1,1760
485,2014,12,3,17,0,10443
486,2015,1,6,16,0,10536
487,2015,1,0,1,0,2498
488,2015,2,1,17,0,12479
489,2015,4,4,18,0,16905
490,2015,5,4,20,0,21363
491,2015,7,2,11,0,9737
492,2015,7,6,3,0,10410
493,2015,8,0,13,0,8415
494,2015,9,1,19,0,14229
495,2015,11,6,4,0,10863
496,2015,11,0,4,0,2624
497,2015,12,3,14,0,13208
498,2015,12,4,23,1,1946
499,2016,2,5,6,0,2667
500,2016,2,0,19,1,2554
501,2016,3,2,9,0,12087
502,2016,5,6,17,0,14236
503,2016,5,1,11,0,8996
504,2016,6,2,19,0,13931
505,2013,8,2,20,0,59
506,2013,9,3,4,0,41
507,2013,12,0,2,0,1220
508,2013,12,0,20,0,5337
509,2013,12,2,14,0,2616
510,2014,1,2,5,1,1329
511,2014,1,5,13,0,4840
512,2014,1,2,9,0,4893
513,2014,2,1,22,0,6053
514,2014,2,3,9,0,5502
515,2014,3,6,3,0,11491
516,2014,5,3,15,0,11233
517,2014,5,6,21,0,9935
518,2014,6,1,6,0,2374
519,2014,8,2,12,0,6217
520,2014,9,1,10,0,8887
521,2014,9,2,5,0,1354
522,2014,9,4,16,0,10745
523,2014,11,4,0,0,9392
524,2015,3,0,20,0,14188
525,2015,3,2,18,0,14670
526,2015,4,4,14,0,9523
527,2015,6,6,17,0,12809
528,2015,7,3,1,0,6966
529,2015,7,1,9,0,8937
530,2015,9,3,16,0,10197
531,2015,10,0,9,0,7195
532,2015,10,2,8,0,10011
533,2015,10,0,10,1,1428
534,2015,11,2,15,1,2116
535,2015,12,5,22,0,15816
536,2016,1,0,17,1,2498
537,2016,2,6,21,0,10453
538,2016,3,3,21,0,15492
539,2016,3,0,5,0,1704
540,2016,4,2,10,0,7905
541,2016,5,6,20,0,13296
542,2013,8,6,6,0,19
543,2013,10,2,20,0,1677
544,2014,1,2,20,0,6794
545,2014,3,1,21,0,7840
546,2014,3,2,10,0,6519
547,2014,5,2,21,0,9536
548,2014,7,4,10,0,4970
549,2014,8,1,4,0,1357
550,2014,9,1,11,0,8266
551,2014,9,4,22,0,14731
552,2014,10,3,18,0,16559
553,2014,10,0,19,0,7586
554,2014,11,2,1,0,3476
555,2015,1,3,21,1,2083
556,2015,4,2,18,0,17893
557,2015,5,0,5,1,714
558,2015,11,1,12,0,7401
559,2015,11,4,20,0,14896
560,2016,1,3,8,0,10635
561,2016,1,4,13,0,7495
562,2016,5,6,4,0,8998
563,2016,5,0,21,1,2148
564,2013,8,2,15,0,70
565,2013,9,3,6,0,74
566,2013,9,0,18,0,496
567,2013,10,1,2,0,190
568,2013,12,6,21,0,4079
569,2013,12,0,11,0,3781
570,2013,12,3,22,0,3940
571,2014,1,4,16,0,8711
572,2014,1,6,23,0,3805
573,2014,1,1,20,0,4605
574,2014,2,0,2,0,1273
575,2014,2,4,20,0,13301
576,2014,3,1,1,0,2561
577,2014,3,3,17,0,10736
578,2014,5,0,8,1,551
579,2014,7,5,16,0,10969
580,2014,7,0,12,0,5501
581,2014,11,1,11,1,1486
582,2014,12,3,23,0,9150
583,2015,1,6,12,0,7856
584,2015,4,1,7,0,6707
585,2015,5,0,19,1,2850
586,2015,6,2,9,0,9881
587,2015,6,2,22,0,10703
588,2015,6,3,23,0,11289
589,2015,6,6,19,0,12719
590,2015,7,0,6,0,2946
591,2015,8,6,7,0,3452
592,2015,10,4,14,0,12684
593,2015,10,2,4,0,1645
594,2015,11,3,14,0,7113
595,2015,11,4,11,0,7498
596,2015,12,5,17,0,13472
597,2016,2,4,20,0,16562
598,2016,5,1,20,0,12060
599,2016,5,4,14,0,9305
600,2016,5,5,22,0,16518
601,2016,6,2,2,0,2598
602,2016,6,0,7,0,6165
603,2013,8,2,16,0,90
604,2013,10,3,18,0,2295
605,2013,12,2,13,1,648
606,2014,1,1,4,0,851
607,2014,5,0,17,1,2144
608,2014,7,6,12,0,6669
609,2014,8,1,15,0,7311
610,2014,11,2,20,0,12264
611,2014,12,0,8,0,11661
612,2014,12,6,21,0,10261
613,2015,1,5,10,0,9082
614,2015,2,6,0,0,16995
615,2015,3,4,4,0,2483
616,2015,3,5,20,0,19258
617,2015,5,2,12,0,8170
618,2015,6,2,6,0,3067
619,2015,8,0,0,0,8307
620,2015,9,1,16,0,11978
621,2015,9,3,12,0,7529
622,2015,9,6,6,0,2904
623,2015,10,1,23,0,7896
624,2015,11,4,3,0,2803
625,2015,12,3,10,0,10437
626,2016,1,4,22,1,2379
627,2016,1,0,7,1,797
628,2016,2,3,19,0,15307
629,2016,3,2,16,0,12804
630,2016,3,0,19,0,11351
631,2016,6,1,0,0,5160
632,2013,8,3,10,0,47
633,2013,8,5,18,0,112
634,2013,8,2,3,0,4
635,2013,10,1,0,0,456
636,2013,10,6,18,0,1257
637,2014,2,2,22,0,6576
638,2014,3,6,2,0,10378
639,2014,3,1,11,0,5812
640,2014,3,3,15,0,8368
641,2014,4,1,11,0,7645
642,2014,4,6,14,0,7825
643,2014,5,1,19,0,10103
644,2014,6,1,0,0,4552
645,2014,7,4,19,1,2689
646,2014,7,4,8,0,5081
647,2014,8,3,18,0,11176
648,2014,11,0,17,0,10555
649,2014,11,2,17,0,12522
650,2014,11,1,22,1,1892
651,2014,12,0,23,0,8653
652,2015,1,1,20,0,9493
653,2015,1,2,20,0,11917
654,2015,3,3,2,0,2765
655,2015,4,4,11,0,8576
656,2015,4,0,18,0,11996
657,2015,6,1,12,0,9752
658,2015,6,3,4,0,2089
659,2015,8,0,16,0,10875
660,2015,8,3,2,0,3225
661,2015,10,5,15,0,14905
662,2015,10,0,3,1,601
663,2016,1,6,3,0,9902
664,2016,1,3,17,0,11898
665,2016,2,4,23,0,15716
666,2016,3,4,7,0,6730
667,2016,4,5,17,0,16668
668,2016,4,1,1,0,3107
669,2016,5,2,7,0,6941
670,2016,6,6,15,0,10496
671,2013,9,3,23,0,304
672,2013,12,0,18,0,6101
