,weekofday,Pick_up_hour,avg(Efficiency),min(Efficiency),max(Efficiency)
76,1,5,1.1985589348152321,0.006430338004946415,29.032258064516125
77,5,19,1.0359813991314337,0.0003498542274052478,29.999999999999993
78,6,19,1.05600931813303,0.0004037685060565276,29.999999999999993
79,0,10,1.0912275011962957,0.008877198750616471,28.6046511627907
80,2,19,1.0679591366248942,0.0009160305343511451,28.965517241379306
81,3,1,1.1573239329189478,0.0008230452674897119,28.799999999999997
82,3,11,1.0767230376462475,0.00028571428571428574,29.999999999999993
83,0,11,1.0823038743520292,0.0072874493927125505,26.422018348623855
84,0,15,1.060390982991553,2.8328611898016997e-05,29.433962264150946
85,1,16,1.0495468816689217,5.46448087431694e-05,25.999999999999993
86,1,10,1.0821936331060986,0.0006465517241379309,28.8
87,3,20,1.0696082640690414,4.1256962112356465e-05,28.108108108108105
88,3,21,1.0823929389862057,9.863554167351635e-05,28.42105263157895
89,1,3,1.1974803013456927,0.00013642564802182812,27.428571428571427
90,6,7,1.202978899535564,0.008433734939759036,29.268292682926827
91,6,23,1.1119030830088197,8.967269466447467e-05,27.857142857142858
92,0,3,1.168449363611483,0.0006091370558375635,25.0
93,3,18,1.051567590873915,0.00011930801352157487,28.88888888888889
94,3,22,1.0902062806253328,0.0015345268542199487,25.999999999999993
95,4,10,1.0842774392995094,0.00046583850931677023,28.695652173913043
96,1,14,1.0668669752814697,2.5e-05,28.086303939962477
97,1,23,1.1224004723471712,7.383706620723603e-05,29.032258064516125
98,6,2,1.0934770301572605,0.00015404364569961487,28.842857142857138
99,2,20,1.0773086231576503,7.005253940455341e-05,27.344262295081965
100,3,13,1.0759735077116308,0.0014742014742014742,27.27272727272727
101,3,15,1.0524664356181987,0.00013245033112582781,29.999999999999993
102,5,17,1.0294335964805053,6.609385327164573e-05,28.571428571428573
103,3,5,1.1856143815056932,4.149377593360996e-05,29.032258064516125
104,1,12,1.0757987300137952,0.008637236084452974,29.999999999999993
105,3,2,1.1662042181431964,0.10327022375215147,28.571428571428573
106,3,0,1.1331602879570908,0.00045592705167173255,29.999999999999993
107,3,4,1.1639002520256057,0.0005982053838484546,25.999999999999993
108,3,6,1.1256496047336706,0.00025220680958385876,29.411764705882355
109,4,11,1.0765904942647115,0.0001954397394136808,28.571428571428573
110,1,7,1.0648929507942553,0.0005571030640668524,27.69230769230769
111,4,7,1.076362003598709,0.000818452380952381,29.433962264150946
112,6,20,1.0651935595022146,0.0001364566750056857,28.571428571428573
113,0,12,1.0752706997329848,0.00021897810218978104,28.235294117647058
114,0,21,1.1046184528622087,4.229820232640113e-05,29.433962264150946
115,0,23,1.1338244775229067,0.00024620434961017645,28.846153846153847
