,year,weekofday,hour,count
600,2014,6,2,145071
601,2015,3,14,122452
602,2016,4,9,62276
603,2016,6,3,61107
604,2016,0,23,40200
605,2015,3,4,31004
606,2015,2,22,135518
607,2016,3,15,63927
608,2013,3,15,9468
609,2015,1,11,96106
610,2014,4,2,45660
611,2015,4,21,207599
612,2015,5,19,219884
613,2016,0,3,12119
614,2014,2,14,99635
615,2015,6,12,112244
616,2016,4,17,89206
617,2016,3,5,10256
618,2013,6,16,9415
619,2013,1,2,2215
620,2013,3,0,4864
621,2015,5,15,159326
622,2015,5,16,172813
623,2016,0,2,16409
624,2016,1,5,9602
625,2014,4,16,138412
626,2014,5,12,95667
627,2014,6,23,94074
628,2016,4,11,49954
629,2013,1,1,3145
630,2013,1,19,12778
631,2013,4,2,3262
632,2015,3,2,46433
633,2015,0,21,114945
634,2016,1,1,19138
635,2013,6,20,8418
636,2015,5,2,151480
637,2013,5,18,12281
638,2014,5,9,67347
639,2015,6,14,131564
640,2015,0,14,106008
641,2016,4,23,99560
642,2014,2,9,102028
643,2016,4,10,53611
644,2016,5,18,96127
645,2016,1,23,46867
646,2013,1,12,7625
647,2014,2,3,21437
648,2016,3,23,65366
649,2014,1,14,93227
650,2013,0,10,7171
651,2013,0,15,9080
652,2013,0,6,2727
653,2014,2,18,152075
654,2014,4,14,101485
655,2015,4,19,220943
656,2016,1,12,46783
657,2014,2,6,30752
658,2014,5,1,154612
659,2015,4,10,111279
660,2015,6,8,46077
661,2015,1,20,143244
662,2016,4,22,95899
663,2013,1,14,8780
664,2013,6,12,6672
665,2014,2,16,121838
666,2014,1,4,18093
667,2016,3,17,81383
668,2015,1,14,110165
669,2016,6,8,22780
670,2013,4,6,2586
671,2016,3,3,10957
