,RateCodeID,icon,hour,count
354,6,clear-day,12,67
355,6,clear-day,18,41
356,5,wind,23,1592
357,1,partly-cloudy-night,18,83274
358,1,cloudy,14,177455
359,1,cloudy,23,207000
360,1,fog,13,14883
361,6,partly-cloudy-day,14,31
362,4,wind,3,14
363,6,partly-cloudy-night,2,7
364,2,fog,16,112
365,5,snow,3,143
366,5,clear-day,15,32322
367,1,rain,7,77964
368,1,wind,14,129183
369,6,wind,13,1
370,2,fog,4,38
371,5,,12,1359
372,2,,2,42
373,1,clear-day,19,967743
374,99,partly-cloudy-day,17,73
375,2,partly-cloudy-night,5,1055
376,4,clear-day,11,353
377,2,wind,12,334
378,2,rain,10,364
379,3,cloudy,19,125
380,1,fog,10,26275
381,1,fog,12,14191
382,1,snow,1,8684
383,1,partly-cloudy-day,15,331406
384,6,,15,4
385,4,snow,0,4
386,6,fog,11,1
387,1,fog,22,26153
388,2,,17,288
389,1,snow,4,6413
390,1,clear-day,12,1202249
391,3,cloudy,14,246
392,2,wind,15,967
393,2,rain,0,190
394,1,rain,1,93082
395,4,rain,11,48
396,3,fog,14,23
397,6,clear-day,10,55
398,1,partly-cloudy-night,21,176511
399,99,clear-night,18,2
400,6,snow,23,2
401,1,rain,17,193203
402,3,clear-day,19,517
403,3,wind,15,236
404,4,clear-night,20,433
405,2,cloudy,10,493
406,3,cloudy,10,135
407,5,fog,1,365
408,4,rain,9,58
409,6,wind,20,3
410,2,,18,281
411,5,,7,891
412,4,partly-cloudy-night,20,186
413,3,partly-cloudy-day,13,501
414,4,rain,8,54
415,4,partly-cloudy-night,22,193
416,2,snow,11,65
417,3,partly-cloudy-day,18,201
418,5,partly-cloudy-night,5,5152
419,5,wind,13,1851
420,4,clear-night,18,304
421,5,fog,6,711
422,5,fog,20,304
423,99,,17,1
424,4,clear-day,14,383
425,3,wind,4,19
426,4,wind,2,21
427,6,cloudy,4,2
428,1,cloudy,2,108327
429,1,snow,16,24088
430,2,snow,14,67
431,6,rain,21,2
432,4,rain,5,27
433,4,wind,5,6
434,4,snow,13,5
435,1,,2,23434
436,2,cloudy,5,493
437,1,rain,9,131024
438,2,clear-night,22,2397
439,1,wind,6,16617
440,3,rain,12,129
441,2,fog,19,77
442,3,rain,5,100
443,2,rain,20,390
444,5,snow,17,401
445,5,,2,412
446,2,clear-night,7,843
447,2,partly-cloudy-night,1,323
448,4,fog,17,4
449,5,snow,22,172
450,5,partly-cloudy-night,18,1416
451,4,rain,14,53
452,3,clear-day,20,81
453,2,,14,318
454,6,clear-day,13,42
455,5,rain,0,2436
456,3,clear-night,23,445
457,6,cloudy,1,6
458,1,,17,95816
459,5,snow,6,155
460,2,snow,2,10
461,4,partly-cloudy-day,15,155
462,3,clear-night,5,631
463,6,partly-cloudy-night,20,12
464,5,cloudy,1,2707
465,6,wind,18,8
466,3,,23,41
467,4,snow,19,9
468,5,snow,10,686
469,4,fog,8,20
470,6,partly-cloudy-day,12,12
471,6,rain,3,8
472,4,snow,1,5
473,1,clear-day,8,799928
474,4,wind,19,80
475,5,wind,22,1797
476,1,partly-cloudy-day,13,479680
477,3,cloudy,22,67
478,3,cloudy,11,142
479,5,partly-cloudy-night,2,5152
480,5,snow,9,613
481,2,,11,179
482,1,rain,10,108645
483,4,clear-day,10,492
484,2,clear-day,8,3050
485,1,wind,11,91434
486,1,rain,6,41184
487,5,fog,23,493
488,99,,12,1
489,3,clear-day,12,1317
490,5,clear-night,23,22130
491,2,wind,20,297
492,5,cloudy,7,3968
493,1,fog,5,8862
494,99,,19,1
495,4,,12,28
496,4,wind,4,12
497,1,snow,2,6286
498,4,clear-night,1,555
499,6,clear-night,5,9
500,2,,6,109
501,5,,0,178
502,2,,16,343
503,3,snow,21,5
504,99,partly-cloudy-day,10,2
505,6,,10,1
506,99,partly-cloudy-day,14,7
507,2,wind,13,394
508,4,wind,18,91
509,4,wind,11,47
510,1,fog,18,13663
511,3,rain,21,67
512,4,cloudy,7,34
513,5,snow,13,329
514,6,cloudy,2,2
515,5,,13,1482
516,4,fog,21,11
517,99,partly-cloudy-day,7,1
518,3,partly-cloudy-day,17,719
519,5,clear-night,1,20133
520,4,clear-day,12,596
521,1,fog,3,12256
522,4,clear-night,22,787
523,2,wind,0,115
524,5,wind,4,526
525,99,clear-night,4,3
526,3,snow,10,13
527,4,,23,57
528,6,snow,10,1
529,2,partly-cloudy-night,2,358
530,3,clear-day,17,448
531,1,wind,9,72995
532,1,wind,8,50018
533,1,partly-cloudy-night,22,414942
534,3,wind,5,33
535,2,rain,3,129
536,6,partly-cloudy-night,5,12
537,5,,14,1691
538,99,wind,2,3
539,1,rain,16,152534
540,2,partly-cloudy-night,7,494
541,3,,16,93
542,4,wind,23,33
543,2,partly-cloudy-night,6,334
544,1,rain,2,78714
545,6,cloudy,5,2
546,5,,8,1266
547,4,clear-day,13,482
548,5,clear-night,4,15099
549,3,cloudy,23,76
550,5,partly-cloudy-day,10,8986
551,5,wind,10,1922
552,99,clear-night,17,2
553,2,partly-cloudy-night,20,1006
554,2,partly-cloudy-day,8,1657
555,1,wind,0,64770
556,1,partly-cloudy-night,4,131959
557,4,wind,16,83
558,4,partly-cloudy-day,16,267
559,3,partly-cloudy-night,0,47
560,4,fog,19,9
561,4,fog,20,6
562,2,cloudy,8,508
563,5,wind,21,2087
564,6,cloudy,10,11
565,1,,20,103854
566,2,rain,22,248
567,2,rain,16,642
568,6,partly-cloudy-night,4,12
569,6,clear-day,7,20
570,6,,14,4
571,2,rain,12,433
572,5,clear-night,7,7715
573,1,snow,21,14755
574,4,clear-day,20,77
575,99,partly-cloudy-day,11,7
576,3,clear-day,8,731
577,4,clear-night,3,489
578,5,fog,5,460
579,5,snow,7,364
580,5,snow,2,141
581,5,partly-cloudy-night,3,2279
582,2,,4,58
583,5,rain,18,3104
584,5,rain,1,1752
585,5,snow,18,419
586,6,fog,19,2
587,2,rain,6,382
588,3,wind,14,185
589,2,partly-cloudy-day,16,3124
590,3,rain,1,44
591,2,snow,9,69
592,5,,3,473
593,4,clear-day,17,211
594,3,fog,3,15
595,1,,5,10925
596,6,cloudy,23,8
597,6,cloudy,16,4
598,6,fog,10,3
599,99,clear-day,19,147
600,2,fog,13,99
601,1,wind,7,33708
602,4,rain,10,60
603,3,rain,2,39
604,6,wind,23,2
605,5,snow,5,217
606,6,partly-cloudy-night,23,17
607,1,rain,12,105704
608,3,partly-cloudy-day,14,998
609,4,wind,9,35
610,5,partly-cloudy-day,11,13000
611,5,,19,1839
612,1,snow,18,28105
613,4,rain,18,59
614,4,snow,15,7
