,weekofday,hour,icon,count
402,1,7,rain,20555
403,1,21,rain,31507
404,2,4,wind,926
405,5,17,clear-day,90126
406,0,7,wind,7821
407,2,20,fog,3748
408,0,10,fog,8851
409,1,5,cloudy,6233
410,2,10,rain,16621
411,4,3,fog,2066
412,0,6,rain,7707
413,1,10,fog,2176
414,4,10,rain,12479
415,4,13,wind,8106
416,0,3,fog,389
417,2,15,wind,28750
418,1,18,clear-night,122762
419,0,0,fog,328
420,6,14,rain,4072
421,0,17,wind,29136
422,6,17,,17622
423,5,12,,17087
424,2,2,,1490
425,0,6,snow,713
426,1,5,partly-cloudy-night,11051
427,6,17,clear-day,99756
428,1,4,cloudy,4781
429,4,12,fog,3389
430,1,9,fog,6751
431,6,15,,16168
432,0,13,clear-day,113157
433,1,15,clear-day,191328
434,2,8,clear-day,130292
435,4,9,rain,11622
436,4,17,wind,33439
437,3,18,rain,21374
438,2,17,,27507
439,0,14,wind,16554
440,6,18,clear-night,106863
441,3,23,rain,26885
442,5,22,partly-cloudy-night,116526
443,6,13,cloudy,15659
444,0,4,rain,6023
445,4,0,partly-cloudy-night,21538
446,5,21,clear-night,387238
447,2,4,clear-night,34999
448,2,23,cloudy,23926
449,1,13,cloudy,16413
450,6,17,wind,33161
451,2,9,snow,1359
452,0,1,snow,1667
453,2,23,clear-night,135159
454,6,21,clear-night,248819
455,1,20,clear-night,139516
456,6,1,rain,33806
457,3,13,partly-cloudy-day,72678
458,0,23,wind,11092
459,1,2,wind,1942
460,1,10,snow,4263
461,4,15,fog,2345
462,1,6,clear-day,18591
463,2,18,,31256
464,5,7,,6377
465,6,17,clear-night,54582
466,3,2,rain,4389
467,2,17,partly-cloudy-day,133858
468,1,17,snow,605
469,2,6,partly-cloudy-night,4183
470,5,10,snow,186
471,5,15,wind,22884
472,1,8,clear-day,138327
473,1,7,clear-night,31639
474,2,3,fog,1368
475,2,9,clear-day,214111
476,6,2,clear-night,223114
477,1,8,fog,7337
478,6,20,rain,10103
479,1,2,,501
480,0,16,clear-day,147379
481,5,7,clear-night,16627
482,6,13,wind,20973
483,0,14,snow,7597
484,0,20,partly-cloudy-day,33082
485,4,20,clear-day,22766
486,5,2,,8081
487,5,8,snow,130
488,4,8,cloudy,29314
489,3,22,wind,14491
490,6,17,fog,2818
491,0,5,wind,1573
492,1,1,wind,4007
493,2,14,,17776
494,5,14,cloudy,30167
495,0,7,partly-cloudy-day,14058
496,5,6,rain,5641
497,2,21,wind,16543
498,1,17,,12771
499,5,4,fog,3660
500,4,6,clear-day,21834
501,3,2,fog,677
502,2,20,cloudy,37572
503,3,23,,2594
504,4,2,cloudy,22083
505,1,20,snow,447
506,4,13,fog,5459
507,5,15,partly-cloudy-day,48954
508,5,7,clear-day,50717
509,3,17,clear-night,73438
510,3,9,fog,7782
511,6,13,snow,957
512,5,2,partly-cloudy-night,82614
513,4,8,wind,13400
514,2,6,partly-cloudy-day,3059
515,2,11,,15495
516,3,4,snow,585
517,4,17,rain,26644
518,1,1,fog,572
519,3,3,rain,6018
520,5,19,partly-cloudy-day,44710
521,6,18,,18545
522,6,15,snow,5120
523,4,10,clear-day,160008
524,1,17,partly-cloudy-day,110557
525,3,1,partly-cloudy-night,21892
526,5,19,cloudy,29693
527,4,7,snow,100
528,0,3,rain,3398
529,2,20,partly-cloudy-day,34227
530,4,12,,1928
531,0,2,partly-cloudy-night,17264
532,3,21,fog,972
