,date,not_tip,count(date)
308,2014-10-04 00:00:00,False,23061
309,2015-06-03 00:00:00,True,12082
310,2015-11-27 00:00:00,True,11320
311,2015-12-08 00:00:00,False,1810
312,2016-06-26 00:00:00,False,2566
313,2014-03-10 00:00:00,True,5349
314,2014-04-12 00:00:00,False,25683
315,2014-06-07 00:00:00,False,25370
316,2014-07-14 00:00:00,False,16095
317,2014-10-27 00:00:00,False,15108
318,2015-05-11 00:00:00,True,11710
319,2015-12-05 00:00:00,False,623
320,2015-12-24 00:00:00,False,2538
321,2016-01-12 00:00:00,True,11314
322,2016-02-12 00:00:00,False,2648
323,2013-10-05 00:00:00,False,1864
324,2014-03-11 00:00:00,True,5361
325,2014-04-16 00:00:00,True,10085
326,2014-07-08 00:00:00,False,15329
327,2014-09-19 00:00:00,False,18519
328,2014-11-05 00:00:00,False,15953
329,2015-04-04 00:00:00,False,3367
330,2015-05-03 00:00:00,False,2820
331,2015-11-08 00:00:00,False,2605
332,2015-12-15 00:00:00,False,1917
333,2016-03-26 00:00:00,False,3271
334,2016-05-19 00:00:00,True,12962
335,2014-06-24 00:00:00,True,9142
336,2015-02-04 00:00:00,True,9254
337,2015-05-25 00:00:00,True,15316
338,2016-02-29 00:00:00,False,2226
339,2014-02-05 00:00:00,True,40
340,2014-06-19 00:00:00,False,16876
341,2014-11-12 00:00:00,True,11697
342,2015-01-21 00:00:00,False,1823
343,2015-04-22 00:00:00,True,12710
344,2015-10-06 00:00:00,False,1746
345,2016-05-17 00:00:00,True,12004
346,2016-05-22 00:00:00,False,2409
347,2014-08-08 00:00:00,True,13080
348,2015-12-22 00:00:00,True,12010
349,2016-01-04 00:00:00,False,1982
350,2016-06-08 00:00:00,True,11042
351,2014-12-10 00:00:00,False,15767
352,2015-01-26 00:00:00,False,1005
353,2015-09-02 00:00:00,False,1882
354,2016-05-18 00:00:00,False,1710
355,2016-05-20 00:00:00,False,2274
356,2016-06-13 00:00:00,True,10512
357,2014-03-15 00:00:00,True,10260
358,2014-06-11 00:00:00,True,10570
359,2014-08-25 00:00:00,False,15771
360,2015-05-09 00:00:00,True,21311
361,2015-05-20 00:00:00,True,13217
362,2015-06-13 00:00:00,True,20248
363,2015-09-07 00:00:00,False,2025
364,2015-09-21 00:00:00,True,11232
365,2015-10-09 00:00:00,False,2066
366,2016-02-12 00:00:00,True,15590
367,2016-06-22 00:00:00,False,1760
368,2014-09-11 00:00:00,False,16156
369,2015-01-09 00:00:00,False,2151
370,2015-01-16 00:00:00,True,16119
371,2015-02-20 00:00:00,True,17036
372,2015-04-05 00:00:00,False,2997
373,2015-05-31 00:00:00,True,18592
374,2015-09-29 00:00:00,True,419
375,2015-10-24 00:00:00,True,21350
376,2016-05-17 00:00:00,False,1802
377,2014-02-06 00:00:00,False,39
378,2014-04-19 00:00:00,False,24944
379,2014-06-28 00:00:00,True,17245
380,2014-09-12 00:00:00,True,12964
381,2014-10-17 00:00:00,False,20445
382,2014-12-31 00:00:00,False,29450
383,2015-05-12 00:00:00,True,11953
384,2015-05-26 00:00:00,False,1847
385,2015-10-29 00:00:00,True,12773
386,2016-01-05 00:00:00,False,1853
387,2016-04-15 00:00:00,True,15089
388,2014-05-15 00:00:00,True,11312
389,2014-07-21 00:00:00,False,15198
390,2014-07-21 00:00:00,True,8961
391,2014-09-11 00:00:00,True,11511
392,2015-01-21 00:00:00,True,12020
393,2015-02-06 00:00:00,False,2174
394,2015-06-27 00:00:00,True,21596
395,2015-08-24 00:00:00,True,11191
396,2016-01-08 00:00:00,False,2371
397,2016-04-01 00:00:00,False,2558
398,2016-05-14 00:00:00,False,2913
399,2014-02-04 00:00:00,True,26
400,2014-06-05 00:00:00,False,17706
401,2014-06-20 00:00:00,False,19527
402,2014-09-30 00:00:00,True,10178
403,2015-05-08 00:00:00,False,2457
404,2015-08-26 00:00:00,False,1738
405,2015-12-15 00:00:00,True,12816
406,2016-01-21 00:00:00,True,13306
407,2016-04-15 00:00:00,False,2619
408,2014-04-21 00:00:00,False,16122
409,2014-09-09 00:00:00,False,14328
410,2014-11-12 00:00:00,False,15104
411,2016-02-10 00:00:00,False,2233
412,2016-03-11 00:00:00,True,15039
413,2016-05-25 00:00:00,False,1785
414,2013-10-04 00:00:00,True,760
415,2014-02-28 00:00:00,False,16169
416,2014-05-30 00:00:00,True,12305
417,2014-10-09 00:00:00,False,17541
418,2014-12-16 00:00:00,True,12089
419,2015-11-27 00:00:00,False,2301
420,2015-12-16 00:00:00,True,13946
421,2016-04-02 00:00:00,True,21527
422,2014-04-11 00:00:00,True,11532
423,2014-05-20 00:00:00,True,9369
424,2014-12-10 00:00:00,True,12578
425,2015-03-14 00:00:00,False,3429
426,2015-04-03 00:00:00,True,16741
427,2015-06-13 00:00:00,False,2976
428,2015-08-19 00:00:00,True,12384
429,2015-09-03 00:00:00,True,12907
430,2016-02-04 00:00:00,True,13054
431,2016-04-27 00:00:00,True,13149
432,2014-02-17 00:00:00,False,10720
433,2014-03-16 00:00:00,False,18271
434,2015-05-22 00:00:00,True,15514
435,2015-07-07 00:00:00,False,1801
436,2015-09-06 00:00:00,True,16431
437,2016-02-22 00:00:00,True,11388
438,2016-05-28 00:00:00,False,2868
439,2014-07-02 00:00:00,True,9934
