,date,not_tip,count(date)
212,2015-09-21 00:00:00,True,10109
213,2015-10-09 00:00:00,False,1904
214,2016-02-12 00:00:00,True,14494
215,2016-06-22 00:00:00,False,1631
216,2015-01-09 00:00:00,False,1947
217,2015-01-16 00:00:00,True,14931
218,2015-02-20 00:00:00,True,15850
219,2015-04-05 00:00:00,False,2631
220,2015-05-31 00:00:00,True,17128
221,2015-09-29 00:00:00,True,371
222,2015-10-24 00:00:00,True,19553
223,2016-05-17 00:00:00,False,1647
224,2015-05-12 00:00:00,True,10976
225,2015-05-26 00:00:00,False,1654
226,2015-10-29 00:00:00,True,11931
227,2016-01-05 00:00:00,False,1660
228,2016-04-15 00:00:00,True,14095
229,2015-01-21 00:00:00,True,11128
230,2015-02-06 00:00:00,False,1980
231,2015-06-27 00:00:00,True,20153
232,2015-08-24 00:00:00,True,10107
233,2016-01-08 00:00:00,False,2120
234,2016-04-01 00:00:00,False,2360
235,2016-05-14 00:00:00,False,2636
236,2015-05-08 00:00:00,False,2266
237,2015-08-26 00:00:00,False,1579
238,2015-12-15 00:00:00,True,11870
239,2016-01-21 00:00:00,True,12389
240,2016-04-15 00:00:00,False,2413
241,2016-02-10 00:00:00,False,2040
242,2016-03-11 00:00:00,True,13957
243,2016-05-25 00:00:00,False,1615
244,2015-11-27 00:00:00,False,2028
245,2015-12-16 00:00:00,True,12979
246,2016-04-02 00:00:00,True,19991
247,2015-03-14 00:00:00,False,3111
248,2015-04-03 00:00:00,True,15192
249,2015-06-13 00:00:00,False,2683
250,2015-08-19 00:00:00,True,11462
251,2015-09-03 00:00:00,True,11833
252,2016-02-04 00:00:00,True,12180
253,2016-04-27 00:00:00,True,12129
254,2015-05-22 00:00:00,True,14121
255,2015-07-07 00:00:00,False,1616
256,2015-09-06 00:00:00,True,14582
257,2016-02-22 00:00:00,True,10530
258,2016-05-28 00:00:00,False,2567
259,2015-07-07 00:00:00,True,9920
260,2015-07-08 00:00:00,True,11279
261,2015-07-12 00:00:00,True,15558
262,2015-12-17 00:00:00,False,2062
263,2016-01-13 00:00:00,False,1854
264,2016-02-18 00:00:00,True,13269
265,2016-03-17 00:00:00,False,2271
266,2015-06-01 00:00:00,False,1791
267,2015-08-09 00:00:00,True,16208
268,2015-10-05 00:00:00,False,1592
269,2015-10-24 00:00:00,False,2714
270,2015-11-23 00:00:00,False,1663
271,2015-11-28 00:00:00,True,13936
272,2016-02-29 00:00:00,True,11253
273,2016-03-31 00:00:00,True,12731
274,2016-05-02 00:00:00,True,10596
275,2016-05-11 00:00:00,False,1528
276,2016-06-25 00:00:00,False,2555
277,2015-04-24 00:00:00,False,2362
278,2015-07-24 00:00:00,False,2223
279,2015-12-02 00:00:00,False,1678
280,2016-01-01 00:00:00,False,2663
281,2016-02-13 00:00:00,True,21263
282,2016-06-20 00:00:00,False,1571
283,2015-03-22 00:00:00,True,17764
284,2015-06-02 00:00:00,False,1636
285,2015-07-15 00:00:00,True,11448
286,2015-09-23 00:00:00,False,754
287,2015-12-03 00:00:00,True,12596
288,2015-12-26 00:00:00,False,1873
289,2016-01-18 00:00:00,False,1651
290,2016-06-18 00:00:00,False,543
291,2016-06-28 00:00:00,True,8941
292,2016-06-29 00:00:00,True,9711
293,2015-01-11 00:00:00,False,2065
294,2015-04-26 00:00:00,True,17718
295,2015-08-16 00:00:00,True,1378
296,2015-08-17 00:00:00,False,1644
297,2015-12-24 00:00:00,True,11014
298,2015-12-29 00:00:00,False,1696
299,2016-01-26 00:00:00,True,8360
300,2015-01-12 00:00:00,False,1474
301,2015-02-10 00:00:00,True,9874
302,2015-03-04 00:00:00,True,11349
